instance_seed,method,depth,qaoa_seed,jobs,nodes,penalty,f_opt,best_expectation,final_expectation,num_evaluations,restarts,maxiter,runtime_qaoa_s,optimizer,selected_objective,selection_rule,approx_ratio_selected,approx_ratio_mean_feasible,p_feasible,p_infeasible,p_optimal,best_feasible_objective,mean_feasible_objective,mean_objective_all,std_objective_all,most_likely_objective,most_likely_feasible,selected_overload,expectation_value,total_runtime_s,greedy_objective,greedy_overload,random_best_objective,random_mean_objective,random_p_optimal,sa_objective,sa_runtime_s
1,xy,1,2,6,3,,1.6472820974226292,3307.9700182788006,3307.9700182788006,27,1,150,7.6970733999987715,COBYLA,1.6472820974226292,best-feasible-in-distribution,1.0,0.000497973708443628,0.9999999999999983,1.6653345369377348e-15,0.0024175885495697626,1.6472820974226292,3307.970018278799,3307.9700182788006,3170.1722747285853,372.5764467504621,True,0.0,3307.9700182787947,11.134279900004913,,,,,,,
1,soft,1,2,6,3,0.2830519652673393,1.6472820974226292,4788.705415637819,4788.705415637819,27,1,150,6.475844000000507,COBYLA,1.6472820974226292,best-feasible-in-distribution,1.0,0.00042159305656476627,0.006623916172141241,0.9933760838278588,2.0252727017242584e-06,1.6472820974226292,3907.2799510624036,4787.209035905385,3500.6134873595033,2769.6268490008056,False,0.0,4788.705415637791,8.504554400002235,,,,,,,
1,xy,2,2,6,3,,1.6472820974226292,3496.0323373334318,3496.0323373334318,38,1,150,12.559660699997039,COBYLA,1.6472820974226292,best-feasible-in-distribution,1.0,0.000471186172917122,1.0,0.0,0.005085590346315607,1.6472820974226292,3496.0323373334077,3496.0323373334077,2964.181289185577,3211.872456240458,True,0.0,3496.0323373334168,17.8416894999973,,,,,,,
1,soft,2,2,6,3,0.2830519652673393,1.6472820974226292,5917.767358920434,5917.767358920434,35,1,150,12.164763200002199,COBYLA,1.6472820974226292,best-feasible-in-distribution,1.0,0.00044077705901934426,0.0031245972670036976,0.9968754027329964,1.603411749382211e-06,1.6472820974226292,3737.222851587508,5916.092321973161,4246.516246855659,669.3712179120039,False,0.0,5917.767358920397,15.754043799999636,,,,,,,
1,xy,3,2,6,3,,1.6472820974226292,3410.491022613115,3410.491022613115,55,1,150,25.83761190000223,COBYLA,1.6472820974226292,best-feasible-in-distribution,1.0,0.00048300437869514803,1.0,0.0,0.00202432931661926,1.6472820974226292,3410.4910226131183,3410.4910226131183,2956.878819491013,206.58441686927517,True,0.0,3410.491022613125,45.57578310000099,,,,,,,
1,soft,3,2,6,3,0.2830519652673393,1.6472820974226292,5564.664853578333,5564.664853578333,51,1,150,26.640801899993676,COBYLA,1.6472820974226292,best-feasible-in-distribution,1.0,0.00048822550805023584,0.0025876284366244994,0.9974123715633755,8.541523578699356e-08,1.6472820974226292,3374.018911877772,5562.9843441991725,4128.061458487983,1028.446493593449,False,0.0,5564.664853578295,54.505467599999974,,,,,,,
2,xy,1,0,6,3,,0.929981368206904,3201.1372527760777,3201.1372527760777,30,1,150,6.630583500002103,COBYLA,0.929981368206904,best-feasible-in-distribution,1.0,0.0002905159306744533,0.9999999999999992,7.771561172376096e-16,0.0003963283942123254,0.929981368206904,3201.137252776075,3201.137252776075,2805.5390158143346,1521.4707342902684,True,0.0,3201.1372527760727,19.02093700000114,68.55118553599675,6.0,0.929981368206904,3496.4522310072603,0.001,0.929981368206904,0.317243999998027
2,soft,1,0,6,3,0.015365458006286697,0.929981368206904,5752.140282210564,5752.140282210564,23,1,150,8.351727100001881,COBYLA,0.929981368206904,best-feasible-in-distribution,1.0,0.00027990079167333824,0.002780242547055346,0.9972197574529447,2.755605879916852e-06,0.929981368206904,3322.5392563099663,5752.04925969153,4093.307398324191,1524.3494743306596,False,0.0,5752.140282210533,16.998680400000012,68.55118553599675,6.0,0.929981368206904,3496.4522310072603,0.001,0.929981368206904,0.3123593000054825
2,xy,2,0,6,3,,0.929981368206904,3232.618207416548,3232.618207416548,50,1,150,24.23045809999894,COBYLA,0.929981368206904,best-feasible-in-distribution,1.0,0.000287686732096373,0.9999999999999942,5.773159728050814e-15,3.888625341160205e-05,0.929981368206904,3232.6182074165554,3232.6182074165554,2615.214524793731,6464.95460988616,True,0.0,3232.6182074165367,26.86216539999441,,,,,,,
2,soft,2,0,6,3,0.015365458006286697,0.929981368206904,5152.0707327392265,5152.0707327392265,40,1,150,18.611732099998335,COBYLA,0.929981368206904,best-feasible-in-distribution,1.0,0.00034158763435127514,0.0027702639618987722,0.9972297360381013,8.490213349079187e-06,0.929981368206904,2722.5264461726624,5151.978544451381,3782.60490883864,1388.197978702401,False,0.0,5152.070732739189,21.975019899997278,,,,,,,
2,xy,3,0,6,3,,0.929981368206904,3196.8583679304493,3196.8583679304493,51,1,150,28.419460099998105,COBYLA,0.929981368206904,best-feasible-in-distribution,1.0,0.0002909047762441066,1.0,0.0,0.0062269457421349735,0.929981368206904,3196.8583679304384,3196.8583679304393,2935.088509737936,3279.5170487587766,True,0.0,3196.8583679304447,38.4514749000009,,,,,,,
2,soft,3,0,6,3,0.015365458006286697,0.929981368206904,5016.95405216066,5016.95405216066,51,1,150,25.634242000000086,COBYLA,0.929981368206904,best-feasible-in-distribution,1.0,0.0003496369294455886,0.002642285452873091,0.997357714547127,3.6273277984100667e-06,0.929981368206904,2659.848802818268,5016.863336767623,3780.622552906588,2517.5672827715034,False,0.0,5016.954052160636,47.09000029999879,,,,,,,
2,xy,1,1,6,3,,0.929981368206904,3283.4062865692486,3283.4062865692486,24,1,150,5.024265599997307,COBYLA,0.929981368206904,best-feasible-in-distribution,1.0,0.0002832367629954858,0.9999999999999972,2.7755575615628914e-15,0.003335502324213938,0.929981368206904,3283.406286569254,3283.406286569255,2824.855079005707,1139.2027379258193,True,0.0,3283.406286569246,10.06556129999808,,,,,,,
2,soft,1,1,6,3,0.015365458006286697,0.929981368206904,5300.076917312174,5300.076917312174,24,1,150,4.895705000002636,COBYLA,0.929981368206904,best-feasible-in-distribution,1.0,0.0003502426094520608,0.0025240994778698593,0.9974759005221301,8.484716682825777e-06,0.929981368206904,2655.2490848038706,5299.984936758095,3599.867492838459,150.60516201478953,False,0.0,5300.0769173121425,7.875661300000502,,,,,,,
2,xy,2,1,6,3,,0.929981368206904,3206.3711443275984,3206.3711443275984,45,1,150,15.886355900001945,COBYLA,0.929981368206904,best-feasible-in-distribution,1.0,0.0002900417095669457,0.9999999999999998,2.220446049250313e-16,0.0022274487972999838,0.929981368206904,3206.3711443276097,3206.3711443276097,2764.6756057889506,191.7860351968502,True,0.0,3206.371144327609,21.39817739999853,,,,,,,
2,soft,2,1,6,3,0.015365458006286697,0.929981368206904,4870.855669076579,4870.855669076579,40,1,150,14.325488499998755,COBYLA,0.929981368206904,best-feasible-in-distribution,1.0,0.00033947839264946675,0.004072665526981056,0.995927334473019,1.4016606886041344e-05,0.929981368206904,2739.4420038013127,4870.771840585097,3539.6532603652695,2865.9943251908585,False,0.0,4870.85566907655,17.803709500003606,,,,,,,
